workload,baseline,accepted,finalized,finalize_timeouts,accepted_per_sec,finalized_per_sec,p95_finalized_ns,cert_count,cert_per_sec,final_record_count,final_per_sec,merge_finalize_count,rebase_finalize_count,rebase_llm_finalize_count,auto_merge_rate,outcome_commit_patch,outcome_noop,outcome_fail,verify_passed,log
A,slx,1000,483,517,28.565693279669418,13.797229854080328,4953096762,17,0.48561678575438005,328,9.36954739573157,316,12,0,0.919047619047619,352,0,131,true,results/compare-5s-abcd-20260220-023053/wA_slx_a1.log
A,slx-l,1000,234,766,28.56522431815142,6.684262490447432,30350122970,417,11.911698540669141,383,10.940480913851994,382,1,0,0.8167838312829525,165,0,69,true,results/compare-5s-abcd-20260220-023053/wA_slx-l_a1.log
A,b1,1000,2,998,28.56622743433328,0.057132454868666555,25158284747,3429,97.95359387232881,1,0.028566227434333277,0,1,0,0,1,0,1,true,results/compare-5s-abcd-20260220-023053/wA_b1_a1.log
A,b2,1000,330,670,28.565264527678224,9.426537294133814,29799238286,108,3.085048568989248,464,13.254282740842696,463,1,0,0.948076923076923,240,1,89,true,results/compare-5s-abcd-20260220-023053/wA_b2_a1.log
A,b3,1000,42,958,28.56568968764301,1.1997589668810065,26009895440,3280,93.69546217546907,75,2.142426726573226,0,75,0,0,25,5,12,true,results/compare-5s-abcd-20260220-023053/wA_b3_a1.log
A,b4,558,0,558,15.93386636634351,0,0,0,0,1,0.028555316068715968,0,1,0,0,0,0,0,true,results/compare-5s-abcd-20260220-023053/wA_b4_a1.log
B,slx,1000,201,799,28.566081768124917,5.741782435393109,30461397541,350,9.99812861884372,682,19.482067765861196,682,0,0,0.8382624768946395,136,0,65,true,results/compare-5s-abcd-20260220-023053/wB_slx_a1.log
B,slx-l,1000,221,779,28.565812673037616,6.313044600741313,32058132851,247,7.055755730240292,259,7.398545482316743,252,7,0,0.8957365977205572,162,0,59,true,results/compare-5s-abcd-20260220-023053/wB_slx-l_a1.log
B,b1,1000,25,975,28.56631283777227,0.7141578209443068,13895230916,8060,230.2444814724445,42,1.1997851391864354,0,42,0,0,16,0,9,true,results/compare-5s-abcd-20260220-023053/wB_b1_a1.log
B,b2,1000,474,526,28.565537827841787,13.540064930397007,5068014086,8,0.2285243026227343,317,9.055275491425846,309,8,0,0.9565217391304348,339,6,129,true,results/compare-5s-abcd-20260220-023053/wB_b2_a1.log
B,b3,1000,0,1000,28.56573159168199,0,0,3172,90.61050060881527,1,0.02856573159168199,0,1,0,0,0,0,0,true,results/compare-5s-abcd-20260220-023053/wB_b3_a1.log
B,b4,558,0,558,15.936140153122851,0,0,0,0,0,0,0,0,0,0,0,0,0,true,results/compare-5s-abcd-20260220-023053/wB_b4_a1.log
C,slx,1000,0,1000,28.56587886756963,0,0,2251,64.30179333089924,0,0,0,0,0,0,0,0,0,true,results/compare-5s-abcd-20260220-023053/wC_slx_a1.log
C,slx-l,1000,0,1000,28.565268740554345,0,0,2168,61.92950262952182,0,0,0,0,0,0,0,0,0,true,results/compare-5s-abcd-20260220-023053/wC_slx-l_a1.log
C,b1,1000,0,1000,28.565515589684953,0,0,2108,60.216106863055884,0,0,0,0,0,0,0,0,0,true,results/compare-5s-abcd-20260220-023053/wC_b1_a1.log
C,b2,1000,0,1000,28.56618938211935,0,0,2222,63.4740728070692,0,0,0,0,0,0,0,0,0,true,results/compare-5s-abcd-20260220-023053/wC_b2_a1.log
C,b3,1000,0,1000,28.565919513057445,0,0,2132,60.90254040183847,0,0,0,0,0,0,0,0,0,true,results/compare-5s-abcd-20260220-023053/wC_b3_a1.log
C,b4,558,0,558,15.937647124190802,0,0,0,0,0,0,0,0,0,0,0,0,0,true,results/compare-5s-abcd-20260220-023053/wC_b4_a1.log
D,slx,1000,2,998,28.565109825493476,0.057130219650986955,31126160139,2216,63.300283373293546,1,0.028565109825493477,0,1,0,0,0,0,2,true,results/compare-5s-abcd-20260220-023053/wD_slx_a1.log
D,slx-l,1000,0,1000,28.56581329891397,0,0,2119,60.5309583803987,0,0,0,0,0,0,0,0,0,true,results/compare-5s-abcd-20260220-023053/wD_slx-l_a1.log
D,b1,1000,0,1000,28.566059765766894,0,0,2121,60.588612763191584,0,0,0,0,0,0,0,0,0,true,results/compare-5s-abcd-20260220-023053/wD_b1_a1.log
D,b2,1000,25,975,28.56557645604233,0.7141394114010582,23858528819,7796,222.697234051306,47,1.3425820934339894,0,47,0,0,0,16,9,true,results/compare-5s-abcd-20260220-023053/wD_b2_a1.log
D,b3,1000,0,1000,28.565043115573904,0,0,2064,58.95824899054454,1,0.028565043115573903,0,1,0,0,0,0,0,true,results/compare-5s-abcd-20260220-023053/wD_b3_a1.log
D,b4,558,0,558,15.938416088555076,0,0,0,0,0,0,0,0,0,0,0,0,0,true,results/compare-5s-abcd-20260220-023053/wD_b4_a1.log
