workload,baseline,status,attempt,log
A,slx,PASS,1,results/compare-5s-abcd-20260220-023053/wA_slx_a1.log
A,slx-l,PASS,1,results/compare-5s-abcd-20260220-023053/wA_slx-l_a1.log
A,b1,PASS,1,results/compare-5s-abcd-20260220-023053/wA_b1_a1.log
A,b2,PASS,1,results/compare-5s-abcd-20260220-023053/wA_b2_a1.log
A,b3,PASS,1,results/compare-5s-abcd-20260220-023053/wA_b3_a1.log
A,b4,PASS,1,results/compare-5s-abcd-20260220-023053/wA_b4_a1.log
B,slx,PASS,1,results/compare-5s-abcd-20260220-023053/wB_slx_a1.log
B,slx-l,PASS,1,results/compare-5s-abcd-20260220-023053/wB_slx-l_a1.log
B,b1,PASS,1,results/compare-5s-abcd-20260220-023053/wB_b1_a1.log
B,b2,PASS,1,results/compare-5s-abcd-20260220-023053/wB_b2_a1.log
B,b3,PASS,1,results/compare-5s-abcd-20260220-023053/wB_b3_a1.log
B,b4,PASS,1,results/compare-5s-abcd-20260220-023053/wB_b4_a1.log
C,slx,PASS,1,results/compare-5s-abcd-20260220-023053/wC_slx_a1.log
C,slx-l,PASS,1,results/compare-5s-abcd-20260220-023053/wC_slx-l_a1.log
C,b1,PASS,1,results/compare-5s-abcd-20260220-023053/wC_b1_a1.log
C,b2,PASS,1,results/compare-5s-abcd-20260220-023053/wC_b2_a1.log
C,b3,PASS,1,results/compare-5s-abcd-20260220-023053/wC_b3_a1.log
C,b4,PASS,1,results/compare-5s-abcd-20260220-023053/wC_b4_a1.log
D,slx,PASS,1,results/compare-5s-abcd-20260220-023053/wD_slx_a1.log
D,slx-l,PASS,1,results/compare-5s-abcd-20260220-023053/wD_slx-l_a1.log
D,b1,PASS,1,results/compare-5s-abcd-20260220-023053/wD_b1_a1.log
D,b2,PASS,1,results/compare-5s-abcd-20260220-023053/wD_b2_a1.log
D,b3,PASS,1,results/compare-5s-abcd-20260220-023053/wD_b3_a1.log
D,b4,PASS,1,results/compare-5s-abcd-20260220-023053/wD_b4_a1.log
